year,state_code,producer_type,fuel_source,generators,facilities,nameplate_capacity_(megawatts),summer_capacity_(megawatts),summer_capacity_change
1996,US,"Electric Generators, Electric Utilities",Wind,,6.0,7.6,7.6,0.0
1997,US,"Electric Generators, Electric Utilities",Wind,,7.0,13.7,13.7,6.1
1998,US,"Electric Generators, Electric Utilities",Wind,,8.0,15.6,8.7,-5.0
1999,US,"Electric Generators, Electric Utilities",Wind,,14.0,43.8,29.4,20.7
2000,US,"Electric Generators, Electric Utilities",Wind,,20.0,71.0,54.0,24.6
2001,US,"Electric Generators, Electric Utilities",Wind,,18.0,74.0,60.0,6.0
2002,US,"Electric Generators, Electric Utilities",Wind,,18.0,136.0,111.0,51.0
2003,US,"Electric Generators, Electric Utilities",Wind,,25.0,175.0,140.0,29.0
2004,US,"Electric Generators, Electric Utilities",Wind,,27.0,346.0,326.0,186.0
2005,US,"Electric Generators, Electric Utilities",Wind,,30.0,776.0,765.0,439.0
2006,US,"Electric Generators, Electric Utilities",Wind,,36.0,1443.0,1441.0,676.0
2007,US,"Electric Generators, Electric Utilities",Wind,,40.0,1987.0,1928.0,487.0
2008,US,"Electric Generators, Electric Utilities",Wind,,54.0,3502.0,3190.0,1262.0
2009,US,"Electric Generators, Electric Utilities",Wind,,73.0,4969.0,4655.0,1465.0
2010,US,"Electric Generators, Electric Utilities",Wind,,79.0,5638.0,5338.0,683.0
2011,US,"Electric Generators, Electric Utilities",Wind,151,89.0,7006.1,6735.2,1397.1999999999998
2012,US,"Electric Generators, Electric Utilities",Wind,179,109.0,8948.4,8488.7,1753.500000000001
2013,US,"Electric Generators, Electric Utilities",Wind,182,110.0,9003.3,8424.7,-64.0
2014,US,"Electric Generators, Electric Utilities",Wind,189,116.0,9978.8,9022.6,597.8999999999996
1990,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,219.5,220.9,
1991,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,219.5,220.9,0.0
1992,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,219.5,220.9,0.0
1993,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,219.5,218.6,-2.3000000000000114
1994,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,251.5,252.0,33.400000000000006
1995,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,301.5,307.0,55.0
1996,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,220.0,215.6,-91.4
1997,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,260.8,247.3,31.700000000000017
1998,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,298.3,268.0,20.69999999999999
1999,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,266.3,239.7,-28.30000000000001
2000,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,,286.0,259.0,19.30000000000001
2001,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,8.0,336.0,309.0,50.0
2002,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,6.0,275.0,248.0,-61.0
2003,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,6.0,315.0,268.0,20.0
2004,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,7.0,355.0,313.0,45.0
2005,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,8.0,436.0,391.0,78.0
2006,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,9.0,486.0,428.0,37.0
2007,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,9.0,463.0,418.0,-10.0
2008,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,9.0,462.0,427.0,9.0
2009,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,9.0,462.0,431.0,4.0
2010,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,,9.0,462.0,414.0,-17.0
2011,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,13,8.0,419.9,359.1,-54.89999999999998
2012,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,13,8.0,419.9,364.1,5.0
2013,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,16,12.0,673.4,564.3,200.19999999999993
2014,US,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,19,14.0,777.3,654.8,90.5
