"overnight_category"	"fuel_1_general"	"year"	"capacity_mw"	"n"	"avg_size_mw"	"avg_age"	"heat_rate"	"capacity.factor.avg"	"efficiency"	"pred.heat.rate"	"fuel.price"	"adj.fuel.price"
"coal"	"coal"	2014	52	1	52	0	29708.2353913307	0.493787058150856	NA	16453.0526740228	2.39	39.3227958909145
"coal"	"coal"	2050	NA	NA	NA	NA	7582.22222222222	NA	0.45	17618.7646435929	NA	NA
"coal"	"coal"	2100	NA	NA	NA	NA	6690.19607843137	NA	0.51	4590.25434745285	NA	NA
"conventional combined cycle"	"natural gas"	1990	149.52	2	74.76	0	11462.7058823529	0.26436863257653	NA	11463.0885651706	NA	NA
"conventional combined cycle"	"natural gas"	1991	109	1	109	0	11473.6516853933	0.25280864625669	NA	11338.211712346	2.153	24.411169816681
"conventional combined cycle"	"natural gas"	1992	386.8	4	96.7	0	11396.0106382979	0.233451436271703	NA	11214.6236072682	2.328	26.1076437577205
"conventional combined cycle"	"natural gas"	1993	264	2	132	0	11119.6666666667	0.255199308487249	NA	11092.3242499373	2.56	28.3963500798395
"conventional combined cycle"	"natural gas"	1994	1720.7	11	156.427272727273	0	10842.3703703704	0.261502279151203	NA	10971.3136403532	2.23	24.4660294179877
"conventional combined cycle"	"natural gas"	1995	900.442	11	81.8583636363636	0	10665.762962963	0.265683138369506	NA	10851.591778516	1.984	21.5295580885758
"conventional combined cycle"	"natural gas"	1996	147	1	147	0	NA	0.339244841984577	NA	10733.1586644257	2.64	28.3355388740838
"conventional combined cycle"	"natural gas"	1997	538.65	4	134.6625	0	NA	0.229430294244729	NA	10616.0142980822	2.76	29.3001994627067
"conventional combined cycle"	"natural gas"	1998	0	NA	NA	NA	NA	0.277019367544087	NA	10500.1586794855	2.38	24.9903776571755
"conventional combined cycle"	"natural gas"	1999	1079.5	7	154.214285714286	0	NA	0.323780005793878	NA	10385.5918086357	2.57	26.6909709481937
"conventional combined cycle"	"natural gas"	2000	1657.68	14	118.405714285714	0	NA	NA	NA	10272.3136855327	4.3	44.1709488477907
"conventional combined cycle"	"natural gas"	2001	11871.06	72	164.875833333333	0	9780.17842563206	0.495935169675195	NA	10160.3243101766	4.49	45.6198561526929
"conventional combined cycle"	"natural gas"	2002	35417.04	218	162.463486238532	0	10364.5651954596	0.453122485356665	NA	10049.6236825673	3.68	36.9826151518478
"conventional combined cycle"	"natural gas"	2003	36200.05	216	167.592824074074	0	9965.70222044676	0.359429588097343	NA	9940.21180270494	5.59	55.5657839771206
"conventional combined cycle"	"natural gas"	2004	17355	101	171.831683168317	0	9706.22366466499	0.367464848060446	NA	9832.08867058938	6.15	60.4673453241247
"conventional combined cycle"	"natural gas"	2005	11908.34	75	158.777866666667	0	9384.22992500083	0.375966464152102	NA	9725.25428622067	8.32	80.914115661356
"conventional combined cycle"	"natural gas"	2006	7359.06	41	179.489268292683	0	9248.74273748321	0.380587057276687	NA	9619.70864959882	7.36	70.8010556610473
"conventional combined cycle"	"natural gas"	2007	4116.5	21	196.02380952381	0	9213.6917325147	0.403257132722527	NA	9515.45176072382	7.47	71.0804246526069
"conventional combined cycle"	"natural gas"	2008	4526.1	23	196.786956521739	0	9520.88251685608	0.390357083317004	NA	9412.48361959567	9.22	86.7830989726721
"conventional combined cycle"	"natural gas"	2009	6775.9	29	233.651724137931	0	9326.99475517365	0.394969244990999	NA	9310.80422621437	5.5	51.209423244179
"conventional combined cycle"	"natural gas"	2010	4612.5	35	131.785714285714	0	9416.36870818979	0.406706273513538	NA	9210.41358057992	5.43	50.012545742549
"conventional combined cycle"	"natural gas"	2011	7921.9	51	155.33137254902	0	9426.30784288672	0.399807772471719	NA	9111.31168269233	5	45.5565584134616
"conventional combined cycle"	"natural gas"	2012	6901.8	51	135.329411764706	0	9431.61608307682	0.462313546503583	NA	9013.49853255158	3.74	33.7104845117429
"conventional combined cycle"	"natural gas"	2013	2684.7	22	122.031818181818	0	9095.37582702591	0.429617380624954	NA	8916.97413015769	4.49	40.037213844408
"conventional combined cycle"	"natural gas"	2014	6309.1	33	191.184848484848	0	8945.04080874365	0.428619728852462	NA	8821.73847551064	5.17	45.60838791839
"conventional combined cycle"	"natural gas"	2050	NA	NA	NA	NA	5985.9649122807	NA	0.57	6251.56090762009	NA	NA
"conventional combined cycle"	"natural gas"	2100	NA	NA	NA	NA	5503.22580645161	NA	0.62	5452.67749683581	NA	NA
"conventional combined cycle"	"oil"	1990	0	NA	NA	NA	12997.1111111111	0.112386766605277	NA	13972.0126189727	NA	NA
"conventional combined cycle"	"oil"	1991	0	NA	NA	NA	13347	0.0972282035398737	NA	13775.4485504655	2.548	35.0998429065861
